system,Benchmark,model,method,sample,pass_rate,problem
pa20-result,JavaBench,qwen3.6-flash,SWE-Agent-Mini,sample5,0,PA20
pa20-result,JavaBench,deepseek-v4-flash,SWE-Agent-Mini,sample1,0.7556,PA20
pa20-result,JavaBench,deepseek-v4-flash,SWE-Agent-Mini,sample2,0.8889,PA20
pa20-result,JavaBench,deepseek-v4-flash,SWE-Agent-Mini,sample3,0.7556,PA20
pa20-result,JavaBench,deepseek-v4-flash,SWE-Agent-Mini,sample4,0.7556,PA20
pa20-result,JavaBench,deepseek-v4-flash,SWE-Agent-Mini,sample5,0.9333,PA20
pa20-result,JavaBench,minimax-m3,SWE-Agent-Mini,sample1,0.8667,PA20
pa20-result,JavaBench,minimax-m3,SWE-Agent-Mini,sample2,0,PA20
pa20-result,JavaBench,minimax-m3,SWE-Agent-Mini,sample3,0,PA20
pa20-result,JavaBench,minimax-m3,SWE-Agent-Mini,sample4,0.8889,PA20
pa20-result,JavaBench,minimax-m3,SWE-Agent-Mini,sample5,0.8667,PA20
pa21-result,JavaBench,gpt-5.4-mini,SWE-Agent-Mini,sample1,0.4069,PA21
pa21-result,JavaBench,gpt-5.4-mini,SWE-Agent-Mini,sample2,0.4069,PA21
pa21-result,JavaBench,gpt-5.4-mini,SWE-Agent-Mini,sample3,0.4069,PA21
pa21-result,JavaBench,gpt-5.4-mini,SWE-Agent-Mini,sample4,0.4138,PA21
pa21-result,JavaBench,gpt-5.4-mini,SWE-Agent-Mini,sample5,0.4138,PA21
pa20-result,JavaBench,gemini-3.1-flash-lite,SWE-Agent-Mini,sample5,0,PA20
pa21-result,JavaBench,gemini-3.1-flash-lite,SWE-Agent-Mini,sample1,0.3724,PA21
pa21-result,JavaBench,gemini-3.1-flash-lite,SWE-Agent-Mini,sample2,0.4138,PA21
pa21-result,JavaBench,gemini-3.1-flash-lite,SWE-Agent-Mini,sample3,0.4207,PA21
pa21-result,JavaBench,gemini-3.1-flash-lite,SWE-Agent-Mini,sample4,0.4138,PA21
pa21-result,JavaBench,qwen3.6-flash,SWE-Agent-Mini,sample1,0,PA21
pa21-result,JavaBench,qwen3.6-flash,SWE-Agent-Mini,sample2,0,PA21
pa21-result,JavaBench,qwen3.6-flash,SWE-Agent-Mini,sample3,0,PA21
pa21-result,JavaBench,qwen3.6-flash,SWE-Agent-Mini,sample4,0,PA21
pa21-result,JavaBench,qwen3.6-flash,SWE-Agent-Mini,sample5,0,PA21
pa21-result,JavaBench,deepseek-v4-flash,SWE-Agent-Mini,sample1,0.4414,PA21
pa21-result,JavaBench,deepseek-v4-flash,SWE-Agent-Mini,sample2,0.8483,PA21
pa21-result,JavaBench,deepseek-v4-flash,SWE-Agent-Mini,sample3,0.8483,PA21
pa21-result,JavaBench,deepseek-v4-flash,SWE-Agent-Mini,sample4,0.4414,PA21
pa21-result,JavaBench,deepseek-v4-flash,SWE-Agent-Mini,sample5,0.8138,PA21
pa21-result,JavaBench,minimax-m3,SWE-Agent-Mini,sample1,0.4621,PA21
pa21-result,JavaBench,minimax-m3,SWE-Agent-Mini,sample2,0,PA21
pa21-result,JavaBench,minimax-m3,SWE-Agent-Mini,sample3,0,PA21
pa21-result,JavaBench,minimax-m3,SWE-Agent-Mini,sample4,0.4621,PA21
pa21-result,JavaBench,minimax-m3,SWE-Agent-Mini,sample5,0.4621,PA21
pa22-result,JavaBench,gpt-5.4-mini,SWE-Agent-Mini,sample1,0.0882,PA22
pa22-result,JavaBench,gpt-5.4-mini,SWE-Agent-Mini,sample2,0.0882,PA22
pa22-result,JavaBench,gpt-5.4-mini,SWE-Agent-Mini,sample3,0,PA22
pa22-result,JavaBench,gpt-5.4-mini,SWE-Agent-Mini,sample4,0.0294,PA22
pa22-result,JavaBench,gpt-5.4-mini,SWE-Agent-Mini,sample5,0.0294,PA22
pa21-result,JavaBench,gemini-3.1-flash-lite,SWE-Agent-Mini,sample5,0.4,PA21
pa22-result,JavaBench,gemini-3.1-flash-lite,SWE-Agent-Mini,sample1,0,PA22
pa22-result,JavaBench,gemini-3.1-flash-lite,SWE-Agent-Mini,sample2,0.1618,PA22
pa22-result,JavaBench,gemini-3.1-flash-lite,SWE-Agent-Mini,sample3,0,PA22
pa22-result,JavaBench,gemini-3.1-flash-lite,SWE-Agent-Mini,sample4,0.1618,PA22
pa22-result,JavaBench,qwen3.6-flash,SWE-Agent-Mini,sample1,0,PA22
pa22-result,JavaBench,qwen3.6-flash,SWE-Agent-Mini,sample2,0.8235,PA22
pa22-result,JavaBench,qwen3.6-flash,SWE-Agent-Mini,sample3,0.5882,PA22
pa22-result,JavaBench,qwen3.6-flash,SWE-Agent-Mini,sample4,0.6618,PA22
pa22-result,JavaBench,qwen3.6-flash,SWE-Agent-Mini,sample5,0,PA22
pa22-result,JavaBench,deepseek-v4-flash,SWE-Agent-Mini,sample1,0.7941,PA22
pa22-result,JavaBench,deepseek-v4-flash,SWE-Agent-Mini,sample2,0,PA22
pa22-result,JavaBench,deepseek-v4-flash,SWE-Agent-Mini,sample3,0.8088,PA22
pa22-result,JavaBench,deepseek-v4-flash,SWE-Agent-Mini,sample4,0.9118,PA22
pa22-result,JavaBench,deepseek-v4-flash,SWE-Agent-Mini,sample5,0,PA22
pa22-result,JavaBench,minimax-m3,SWE-Agent-Mini,sample1,0.8088,PA22
pa22-result,JavaBench,minimax-m3,SWE-Agent-Mini,sample2,0,PA22
pa22-result,JavaBench,minimax-m3,SWE-Agent-Mini,sample3,0.8382,PA22
pa22-result,JavaBench,minimax-m3,SWE-Agent-Mini,sample4,0.8382,PA22
pa22-result,JavaBench,minimax-m3,SWE-Agent-Mini,sample5,0.7794,PA22
pa22-result,JavaBench,gemini-3.1-flash-lite,SWE-Agent-Mini,sample5,0,PA22
pa19-result,JavaBench,deepseek-v4-flash,VL,sample1,0.98,PA19
pa19-result,JavaBench,deepseek-v4-flash,VL,sample2,0.98,PA19
pa19-result,JavaBench,deepseek-v4-flash,VL,sample3,0.94,PA19
pa19-result,JavaBench,deepseek-v4-flash,VL,sample4,0.98,PA19
pa19-result,JavaBench,deepseek-v4-flash,VL,sample5,0.98,PA19
pa19-result,JavaBench,gpt-5.4-mini,VL,sample1,0.92,PA19
pa19-result,JavaBench,gpt-5.4-mini,VL,sample2,0.98,PA19
pa19-result,JavaBench,gpt-5.4-mini,VL,sample3,0.94,PA19
pa19-result,JavaBench,gpt-5.4-mini,VL,sample4,0,PA19
pa19-result,JavaBench,gpt-5.4-mini,VL,sample5,0,PA19
pa19-result,JavaBench,minimax-m3,VL,sample1,0.94,PA19
pa19-result,JavaBench,minimax-m3,VL,sample2,0.94,PA19
pa19-result,JavaBench,minimax-m3,VL,sample3,0.94,PA19
pa19-result,JavaBench,minimax-m3,VL,sample4,1,PA19
pa19-result,JavaBench,minimax-m3,VL,sample5,0,PA19
pa19-result,JavaBench,gemini-3.1-flash-lite,VL,sample1,0.76,PA19
pa19-result,JavaBench,gemini-3.1-flash-lite,VL,sample2,0.76,PA19
pa19-result,JavaBench,gemini-3.1-flash-lite,VL,sample3,0.74,PA19
pa19-result,JavaBench,gemini-3.1-flash-lite,VL,sample4,0.76,PA19
pa19-result,JavaBench,gemini-3.1-flash-lite,VL,sample5,0.68,PA19
pa19-result,JavaBench,qwen3.6-flash,VL,sample1,0,PA19
pa19-result,JavaBench,qwen3.6-flash,VL,sample2,0,PA19
pa19-result,JavaBench,qwen3.6-flash,VL,sample3,0.92,PA19
pa19-result,JavaBench,qwen3.6-flash,VL,sample4,0,PA19
pa19-result,JavaBench,qwen3.6-flash,VL,sample5,0,PA19
pa20-result,JavaBench,deepseek-v4-flash,VL,sample1,0.6444,PA20
pa20-result,JavaBench,deepseek-v4-flash,VL,sample2,0.6222,PA20
pa20-result,JavaBench,deepseek-v4-flash,VL,sample3,0.6222,PA20
pa20-result,JavaBench,deepseek-v4-flash,VL,sample4,0.5333,PA20
pa20-result,JavaBench,deepseek-v4-flash,VL,sample5,0.6889,PA20
pa20-result,JavaBench,gpt-5.4-mini,VL,sample1,0,PA20
pa20-result,JavaBench,gpt-5.4-mini,VL,sample2,0,PA20
pa20-result,JavaBench,gpt-5.4-mini,VL,sample3,0,PA20
pa20-result,JavaBench,gpt-5.4-mini,VL,sample4,0.9556,PA20
pa20-result,JavaBench,gpt-5.4-mini,VL,sample5,0,PA20
pa20-result,JavaBench,minimax-m3,VL,sample1,0.2889,PA20
pa20-result,JavaBench,minimax-m3,VL,sample2,0.2444,PA20
pa20-result,JavaBench,minimax-m3,VL,sample3,0.7333,PA20
pa20-result,JavaBench,minimax-m3,VL,sample4,0.3333,PA20
pa20-result,JavaBench,minimax-m3,VL,sample5,0.1556,PA20
pa20-result,JavaBench,gemini-3.1-flash-lite,VL,sample1,0,PA20
pa20-result,JavaBench,gemini-3.1-flash-lite,VL,sample2,0.1333,PA20
pa20-result,JavaBench,gemini-3.1-flash-lite,VL,sample3,0,PA20
pa20-result,JavaBench,gemini-3.1-flash-lite,VL,sample4,0,PA20
pa20-result,JavaBench,gemini-3.1-flash-lite,VL,sample5,0,PA20
pa20-result,JavaBench,qwen3.6-flash,VL,sample1,0,PA20
pa20-result,JavaBench,qwen3.6-flash,VL,sample2,0,PA20
pa20-result,JavaBench,qwen3.6-flash,VL,sample3,0,PA20
pa20-result,JavaBench,qwen3.6-flash,VL,sample4,0,PA20
pa20-result,JavaBench,qwen3.6-flash,VL,sample5,0,PA20
pa21-result,JavaBench,deepseek-v4-flash,VL,sample1,0.8483,PA21
pa21-result,JavaBench,deepseek-v4-flash,VL,sample2,0,PA21
pa21-result,JavaBench,deepseek-v4-flash,VL,sample3,0,PA21
pa21-result,JavaBench,deepseek-v4-flash,VL,sample4,0,PA21
pa21-result,JavaBench,deepseek-v4-flash,VL,sample5,0,PA21
pa21-result,JavaBench,gpt-5.4-mini,VL,sample1,0,PA21
pa21-result,JavaBench,gpt-5.4-mini,VL,sample2,0,PA21
pa21-result,JavaBench,gpt-5.4-mini,VL,sample3,0,PA21
pa21-result,JavaBench,gpt-5.4-mini,VL,sample4,0.7724,PA21
pa21-result,JavaBench,gpt-5.4-mini,VL,sample5,0,PA21
pa21-result,JavaBench,minimax-m3,VL,sample1,0.7931,PA21
pa21-result,JavaBench,minimax-m3,VL,sample2,0,PA21
pa21-result,JavaBench,minimax-m3,VL,sample3,0,PA21
pa21-result,JavaBench,minimax-m3,VL,sample4,0,PA21
pa21-result,JavaBench,minimax-m3,VL,sample5,0.4345,PA21
pa21-result,JavaBench,gemini-3.1-flash-lite,VL,sample1,0,PA21
pa21-result,JavaBench,gemini-3.1-flash-lite,VL,sample2,0,PA21
pa21-result,JavaBench,gemini-3.1-flash-lite,VL,sample3,0,PA21
pa21-result,JavaBench,gemini-3.1-flash-lite,VL,sample4,0,PA21
pa21-result,JavaBench,gemini-3.1-flash-lite,VL,sample5,0,PA21
pa21-result,JavaBench,qwen3.6-flash,VL,sample1,0,PA21
pa21-result,JavaBench,qwen3.6-flash,VL,sample2,0,PA21
pa21-result,JavaBench,qwen3.6-flash,VL,sample3,0,PA21
pa21-result,JavaBench,qwen3.6-flash,VL,sample4,0,PA21
pa21-result,JavaBench,qwen3.6-flash,VL,sample5,0,PA21
pa22-result,JavaBench,deepseek-v4-flash,VL,sample1,0.6618,PA22
pa22-result,JavaBench,deepseek-v4-flash,VL,sample2,0,PA22
pa22-result,JavaBench,deepseek-v4-flash,VL,sample3,0,PA22
pa22-result,JavaBench,deepseek-v4-flash,VL,sample4,0,PA22
pa22-result,JavaBench,deepseek-v4-flash,VL,sample5,0,PA22
pa22-result,JavaBench,gpt-5.4-mini,VL,sample1,0.6029,PA22
pa22-result,JavaBench,gpt-5.4-mini,VL,sample2,0,PA22
pa22-result,JavaBench,gpt-5.4-mini,VL,sample3,0,PA22
pa22-result,JavaBench,gpt-5.4-mini,VL,sample4,0,PA22
pa22-result,JavaBench,gpt-5.4-mini,VL,sample5,0,PA22
pa22-result,JavaBench,minimax-m3,VL,sample1,0.7647,PA22
pa22-result,JavaBench,minimax-m3,VL,sample2,0.3971,PA22
pa22-result,JavaBench,minimax-m3,VL,sample3,0,PA22
pa22-result,JavaBench,minimax-m3,VL,sample4,0,PA22
pa22-result,JavaBench,minimax-m3,VL,sample5,0,PA22
pa22-result,JavaBench,gemini-3.1-flash-lite,VL,sample1,0,PA22
pa22-result,JavaBench,gemini-3.1-flash-lite,VL,sample2,0,PA22
pa22-result,JavaBench,gemini-3.1-flash-lite,VL,sample3,0,PA22
pa22-result,JavaBench,gemini-3.1-flash-lite,VL,sample4,0,PA22
pa22-result,JavaBench,gemini-3.1-flash-lite,VL,sample5,0,PA22
pa22-result,JavaBench,qwen3.6-flash,VL,sample1,0,PA22
pa22-result,JavaBench,qwen3.6-flash,VL,sample2,0,PA22
pa22-result,JavaBench,qwen3.6-flash,VL,sample3,0,PA22
pa22-result,JavaBench,qwen3.6-flash,VL,sample4,0,PA22
pa22-result,JavaBench,qwen3.6-flash,VL,sample5,0,PA22
pa19-result,JavaBench,deepseek-v4-flash,VL-Fix,sample1,0.98,PA19
pa19-result,JavaBench,deepseek-v4-flash,VL-Fix,sample2,0.98,PA19
pa19-result,JavaBench,deepseek-v4-flash,VL-Fix,sample3,0.94,PA19
pa19-result,JavaBench,deepseek-v4-flash,VL-Fix,sample4,0.98,PA19
pa19-result,JavaBench,deepseek-v4-flash,VL-Fix,sample5,0.98,PA19
pa19-result,JavaBench,gpt-5.4-mini,VL-Fix,sample1,0.92,PA19
pa19-result,JavaBench,gpt-5.4-mini,VL-Fix,sample2,0.98,PA19
pa19-result,JavaBench,gpt-5.4-mini,VL-Fix,sample3,0.94,PA19
pa19-result,JavaBench,gpt-5.4-mini,VL-Fix,sample4,0.88,PA19
pa19-result,JavaBench,gpt-5.4-mini,VL-Fix,sample5,0.86,PA19
pa19-result,JavaBench,minimax-m3,VL-Fix,sample1,0.94,PA19
pa19-result,JavaBench,minimax-m3,VL-Fix,sample2,0.94,PA19
pa19-result,JavaBench,minimax-m3,VL-Fix,sample3,0.94,PA19
pa19-result,JavaBench,minimax-m3,VL-Fix,sample4,1,PA19
pa19-result,JavaBench,minimax-m3,VL-Fix,sample5,0,PA19
pa19-result,JavaBench,gemini-3.1-flash-lite,VL-Fix,sample1,0.76,PA19
pa19-result,JavaBench,gemini-3.1-flash-lite,VL-Fix,sample2,0.76,PA19
pa19-result,JavaBench,gemini-3.1-flash-lite,VL-Fix,sample3,0.74,PA19
pa19-result,JavaBench,gemini-3.1-flash-lite,VL-Fix,sample4,0.76,PA19
pa19-result,JavaBench,gemini-3.1-flash-lite,VL-Fix,sample5,0.68,PA19
pa19-result,JavaBench,qwen3.6-flash,VL-Fix,sample1,0,PA19
pa19-result,JavaBench,qwen3.6-flash,VL-Fix,sample2,0,PA19
pa19-result,JavaBench,qwen3.6-flash,VL-Fix,sample3,0.92,PA19
pa19-result,JavaBench,qwen3.6-flash,VL-Fix,sample4,0,PA19
pa19-result,JavaBench,qwen3.6-flash,VL-Fix,sample5,0,PA19
pa20-result,JavaBench,deepseek-v4-flash,VL-Fix,sample1,0.6444,PA20
pa20-result,JavaBench,deepseek-v4-flash,VL-Fix,sample2,0.6222,PA20
pa20-result,JavaBench,deepseek-v4-flash,VL-Fix,sample3,0.6222,PA20
pa20-result,JavaBench,deepseek-v4-flash,VL-Fix,sample4,0.5333,PA20
pa20-result,JavaBench,deepseek-v4-flash,VL-Fix,sample5,0.6889,PA20
pa20-result,JavaBench,gpt-5.4-mini,VL-Fix,sample1,0.9333,PA20
pa20-result,JavaBench,gpt-5.4-mini,VL-Fix,sample2,0.9556,PA20
pa20-result,JavaBench,gpt-5.4-mini,VL-Fix,sample3,0.7556,PA20
pa20-result,JavaBench,gpt-5.4-mini,VL-Fix,sample4,0.9556,PA20
pa20-result,JavaBench,gpt-5.4-mini,VL-Fix,sample5,0.9556,PA20
pa20-result,JavaBench,minimax-m3,VL-Fix,sample1,0.2889,PA20
pa20-result,JavaBench,minimax-m3,VL-Fix,sample2,0.2444,PA20
pa20-result,JavaBench,minimax-m3,VL-Fix,sample3,0.7333,PA20
pa20-result,JavaBench,minimax-m3,VL-Fix,sample4,0.3333,PA20
pa20-result,JavaBench,minimax-m3,VL-Fix,sample5,0.1556,PA20
pa20-result,JavaBench,gemini-3.1-flash-lite,VL-Fix,sample1,0,PA20
pa20-result,JavaBench,gemini-3.1-flash-lite,VL-Fix,sample2,0.1333,PA20
pa20-result,JavaBench,gemini-3.1-flash-lite,VL-Fix,sample3,0.1111,PA20
pa20-result,JavaBench,gemini-3.1-flash-lite,VL-Fix,sample4,0.1333,PA20
pa20-result,JavaBench,gemini-3.1-flash-lite,VL-Fix,sample5,0.1333,PA20
pa20-result,JavaBench,qwen3.6-flash,VL-Fix,sample1,0,PA20
pa20-result,JavaBench,qwen3.6-flash,VL-Fix,sample2,0,PA20
pa20-result,JavaBench,qwen3.6-flash,VL-Fix,sample3,0,PA20
pa20-result,JavaBench,qwen3.6-flash,VL-Fix,sample4,0,PA20
pa20-result,JavaBench,qwen3.6-flash,VL-Fix,sample5,0,PA20
pa21-result,JavaBench,deepseek-v4-flash,VL-Fix,sample1,0.8483,PA21
pa21-result,JavaBench,deepseek-v4-flash,VL-Fix,sample2,0.7931,PA21
pa21-result,JavaBench,deepseek-v4-flash,VL-Fix,sample3,0.8207,PA21
pa21-result,JavaBench,deepseek-v4-flash,VL-Fix,sample4,0.8207,PA21
pa21-result,JavaBench,deepseek-v4-flash,VL-Fix,sample5,0.8138,PA21
pa21-result,JavaBench,gpt-5.4-mini,VL-Fix,sample1,0.4207,PA21
pa21-result,JavaBench,gpt-5.4-mini,VL-Fix,sample2,0.6138,PA21
pa21-result,JavaBench,gpt-5.4-mini,VL-Fix,sample3,0.6828,PA21
pa21-result,JavaBench,gpt-5.4-mini,VL-Fix,sample4,0.7724,PA21
pa21-result,JavaBench,gpt-5.4-mini,VL-Fix,sample5,0.4414,PA21
pa21-result,JavaBench,minimax-m3,VL-Fix,sample1,0.7931,PA21
pa21-result,JavaBench,minimax-m3,VL-Fix,sample2,0.8345,PA21
pa21-result,JavaBench,minimax-m3,VL-Fix,sample3,0.4345,PA21
pa21-result,JavaBench,minimax-m3,VL-Fix,sample4,0,PA21
pa21-result,JavaBench,minimax-m3,VL-Fix,sample5,0.4345,PA21
pa21-result,JavaBench,gemini-3.1-flash-lite,VL-Fix,sample1,0,PA21
pa21-result,JavaBench,gemini-3.1-flash-lite,VL-Fix,sample2,0,PA21
pa21-result,JavaBench,gemini-3.1-flash-lite,VL-Fix,sample3,0,PA21
pa21-result,JavaBench,gemini-3.1-flash-lite,VL-Fix,sample4,0,PA21
pa21-result,JavaBench,gemini-3.1-flash-lite,VL-Fix,sample5,0,PA21
pa21-result,JavaBench,qwen3.6-flash,VL-Fix,sample1,0,PA21
pa21-result,JavaBench,qwen3.6-flash,VL-Fix,sample2,0,PA21
pa21-result,JavaBench,qwen3.6-flash,VL-Fix,sample3,0,PA21
pa21-result,JavaBench,qwen3.6-flash,VL-Fix,sample4,0,PA21
pa21-result,JavaBench,qwen3.6-flash,VL-Fix,sample5,0,PA21
pa22-result,JavaBench,deepseek-v4-flash,VL-Fix,sample1,0.6618,PA22
pa22-result,JavaBench,deepseek-v4-flash,VL-Fix,sample2,0,PA22
pa22-result,JavaBench,deepseek-v4-flash,VL-Fix,sample3,0,PA22
pa22-result,JavaBench,deepseek-v4-flash,VL-Fix,sample4,0,PA22
pa22-result,JavaBench,deepseek-v4-flash,VL-Fix,sample5,0,PA22
pa22-result,JavaBench,gpt-5.4-mini,VL-Fix,sample1,0.6029,PA22
pa22-result,JavaBench,gpt-5.4-mini,VL-Fix,sample2,0.6029,PA22
pa22-result,JavaBench,gpt-5.4-mini,VL-Fix,sample3,0.4559,PA22
pa22-result,JavaBench,gpt-5.4-mini,VL-Fix,sample4,0.5588,PA22
pa22-result,JavaBench,gpt-5.4-mini,VL-Fix,sample5,0.6765,PA22
pa22-result,JavaBench,minimax-m3,VL-Fix,sample1,0.7647,PA22
pa22-result,JavaBench,minimax-m3,VL-Fix,sample2,0.3971,PA22
pa22-result,JavaBench,minimax-m3,VL-Fix,sample3,0,PA22
pa22-result,JavaBench,minimax-m3,VL-Fix,sample4,0,PA22
pa22-result,JavaBench,minimax-m3,VL-Fix,sample5,0,PA22
pa22-result,JavaBench,gemini-3.1-flash-lite,VL-Fix,sample1,0,PA22
pa22-result,JavaBench,gemini-3.1-flash-lite,VL-Fix,sample2,0,PA22
pa22-result,JavaBench,gemini-3.1-flash-lite,VL-Fix,sample3,0,PA22
pa22-result,JavaBench,gemini-3.1-flash-lite,VL-Fix,sample4,0,PA22
pa22-result,JavaBench,gemini-3.1-flash-lite,VL-Fix,sample5,0,PA22
pa22-result,JavaBench,qwen3.6-flash,VL-Fix,sample1,0,PA22
pa22-result,JavaBench,qwen3.6-flash,VL-Fix,sample2,0,PA22
pa22-result,JavaBench,qwen3.6-flash,VL-Fix,sample3,0.5147,PA22
pa22-result,JavaBench,qwen3.6-flash,VL-Fix,sample4,0.3824,PA22
pa22-result,JavaBench,qwen3.6-flash,VL-Fix,sample5,0,PA22
pa19-result,JavaBench,qwen3.6-flash,OpenCode,sample1,0,PA19
pa19-result,JavaBench,qwen3.6-flash,OpenCode,sample2,0,PA19
pa19-result,JavaBench,qwen3.6-flash,OpenCode,sample3,0,PA19
pa19-result,JavaBench,qwen3.6-flash,OpenCode,sample4,0.84,PA19
pa19-result,JavaBench,qwen3.6-flash,OpenCode,sample5,0,PA19
pa19-result,JavaBench,deepseek-v4-flash,OpenCode,sample1,0.98,PA19
pa19-result,JavaBench,deepseek-v4-flash,OpenCode,sample2,1,PA19
pa19-result,JavaBench,deepseek-v4-flash,OpenCode,sample3,0.98,PA19
pa19-result,JavaBench,deepseek-v4-flash,OpenCode,sample4,0,PA19
pa19-result,JavaBench,deepseek-v4-flash,OpenCode,sample5,0.98,PA19
pa19-result,JavaBench,minimax-m3,OpenCode,sample1,0.88,PA19
pa19-result,JavaBench,minimax-m3,OpenCode,sample2,0.94,PA19
pa19-result,JavaBench,minimax-m3,OpenCode,sample3,0.92,PA19
pa19-result,JavaBench,minimax-m3,OpenCode,sample4,0.88,PA19
pa19-result,JavaBench,minimax-m3,OpenCode,sample5,0.92,PA19
pa19-result,JavaBench,gemini-3.1-flash-lite,OpenCode,sample1,0,PA19
pa19-result,JavaBench,gemini-3.1-flash-lite,OpenCode,sample2,0.72,PA19
pa19-result,JavaBench,gemini-3.1-flash-lite,OpenCode,sample3,0.72,PA19
pa19-result,JavaBench,gemini-3.1-flash-lite,OpenCode,sample4,0.72,PA19
pa19-result,JavaBench,gemini-3.1-flash-lite,OpenCode,sample5,0,PA19
pa19-result,JavaBench,gpt-5.4-mini,OpenCode,sample1,0.84,PA19
pa19-result,JavaBench,gpt-5.4-mini,OpenCode,sample2,0.84,PA19
pa19-result,JavaBench,gpt-5.4-mini,OpenCode,sample3,0.88,PA19
pa19-result,JavaBench,gpt-5.4-mini,OpenCode,sample4,0.72,PA19
pa19-result,JavaBench,gpt-5.4-mini,OpenCode,sample5,0.72,PA19
pa20-result,JavaBench,qwen3.6-flash,OpenCode,sample1,0.5111,PA20
pa20-result,JavaBench,qwen3.6-flash,OpenCode,sample2,0,PA20
pa20-result,JavaBench,qwen3.6-flash,OpenCode,sample3,0,PA20
pa20-result,JavaBench,qwen3.6-flash,OpenCode,sample4,0.2444,PA20
pa20-result,JavaBench,qwen3.6-flash,OpenCode,sample5,0.7111,PA20
pa20-result,JavaBench,deepseek-v4-flash,OpenCode,sample1,0.9111,PA20
pa20-result,JavaBench,deepseek-v4-flash,OpenCode,sample2,0,PA20
pa20-result,JavaBench,deepseek-v4-flash,OpenCode,sample3,0.6667,PA20
pa20-result,JavaBench,deepseek-v4-flash,OpenCode,sample4,0.6667,PA20
pa20-result,JavaBench,deepseek-v4-flash,OpenCode,sample5,0.2444,PA20
pa20-result,JavaBench,minimax-m3,OpenCode,sample1,0.7333,PA20
pa20-result,JavaBench,minimax-m3,OpenCode,sample2,0.6444,PA20
